<BOS> der uuarch 900 1
<BOS> der zuífaltôt 1000 1
<BOS> derebeun uuordun 900 1
<BOS> dereb̵ioro manno 900 1
<BOS> des sid 800 1
<BOS> diap dôdes 900 1
<BOS> din rûota 1000 1
<BOS> diopa githâhti 900 1
<BOS> dir ist 1000 1
<BOS> diu marha 900 1
<BOS> diurie mêdmos 900 1
<BOS> diurlîc drohtines 900 1
<BOS> diurlîcan drôm 900 1
<BOS> diurlîco scalt 900 1
<BOS> diz sageta 800 1
<BOS> diê sint 1000 1
<BOS> do dar 800 1
<BOS> do lęttun 800 1
<BOS> do stoptun 800 1
<BOS> do uuas 1000 1
<BOS> doh maht 800 1
<BOS> doh uuânit 900 1
<BOS> dohtar fanueles 900 1
<BOS> dot ni 900 1
<BOS> dragan hietun 900 1
<BOS> drinku ina 900 1
<BOS> drohtin thînen 900 1
<BOS> drohtin uuerthe 1000 1
<BOS> drohtines engil 900 1
<BOS> drohtines stemne 900 1
<BOS> druog ina 900 1
<BOS> drîbad im 900 1
<BOS> drôg man 900 2
<BOS> drôr hruopit 900 1
<BOS> du bechándôst 1000 1
<BOS> du bist 800 1
<BOS> du brahtost 1000 1
<BOS> du hangtost 1000 1
<BOS> du uuart 800 1
<BOS> du uueîst 1000 1
<BOS> duan ûs 900 1
<BOS> durft ist 900 1
<BOS> dánnân ist 1000 1
<BOS> dára ze 1000 1
<BOS> dáz skînet 1000 1
<BOS> dâdun thuo 900 1
<BOS> dâr ni 900 1
<BOS> dâr scal 900 1
<BOS> dísa díge 1000 1
<BOS> dô ih 1000 1
<BOS> dô thîna 900 1
<BOS> dôd uuâri 900 1
<BOS> dôdan gidâdin 900 1
<BOS> dôe alloro 900 1
<BOS> dômos adêldi 900 1
<BOS> dôt im 900 1
<BOS> dôt sô 900 1
<BOS> dû bechándost 1000 1
<BOS> dû bechándôst 1000 1
<BOS> dû capiut 900 1
<BOS> dû habest 1000 1
<BOS> dû scáffotost 1000 1
<BOS> eddo hwelihhes 800 1
<BOS> ef gi 900 3
<BOS> ef he 900 3
<BOS> ef ik 900 2
<BOS> ef imu 900 2
<BOS> ef it 900 1
<BOS> ef iu 900 1
<BOS> ef iuuuar 900 1
<BOS> ef sia 900 1
<BOS> ef sie 900 3
<BOS> ef than 900 1
<BOS> ef thu 900 6
<BOS> ef uui 900 1
<BOS> einan kuning 900 1
<BOS> elcor bifelliad 900 1
<BOS> eldibarnun thoh 900 1
<BOS> elias strîtit 900 1
<BOS> elithioda quam 900 1
<BOS> ellianlicho reit 900 1
<BOS> endi an 900 2
<BOS> endi at 900 1
<BOS> endi fridu 900 1
<BOS> endi frâgoda 900 1
<BOS> endi fundun 900 1
<BOS> endi gihôrien 900 1
<BOS> endi myrra 900 1
<BOS> endi mînes 900 1
<BOS> endi sie 900 1
<BOS> endi siu 900 1
<BOS> endi that 900 1
<BOS> endi thuo 900 1
<BOS> endi ôc 900 1
<BOS> enti cot 800 1
<BOS> enti sih 900 1
<BOS> eo gi 900 1
<BOS> er chám 1000 1
<BOS> er gehiez 1000 1
<BOS> er habet 1000 1
<BOS> er hapêt 900 1
<BOS> er hábet 1000 1
<BOS> erbiuuardos endi 900 1
<BOS> erl obarmôdig 900 1
<BOS> erlos an 900 1
<BOS> erlos huurbun 900 1
<BOS> erlos managa 900 1
<BOS> erlos thrungun 900 1
<BOS> erlos êduuordo 900 1
<BOS> erodes biheld 900 1
<BOS> erodes mohta 900 1
<BOS> erodes uuas 900 1
<BOS> erodesan eft 900 1
<BOS> erster merseburger 800 1
<BOS> etan endi 900 1
<BOS> ettha berht 900 1
<BOS> euuar selboro 900 1
<BOS> fadar ûsa 900 1
<BOS> fader abraham 900 1
<BOS> fader allaro 900 2
<BOS> fader uuêt 900 1
<BOS> fadmon gifastnot 900 1
<BOS> fagar an 900 3
<BOS> fagar uuard 900 1
<BOS> fagaron fratahun 900 1
<BOS> fagororo frumono 900 1
<BOS> fallad sterron 900 1
<BOS> fan mînero 900 1
<BOS> fan thesaru 900 1
<BOS> fand her 900 1
<BOS> fand sie 900 1
<BOS> far thiu 900 1
<BOS> faran sô 900 1
<BOS> fargibid imu 900 1
<BOS> fargoldan mid 900 1
<BOS> farit im 900 1
<BOS> farlegarnessi farlât 900 1
<BOS> farlêdien is 900 1
<BOS> farman ina 900 1
<BOS> farstanden mid 900 1
<BOS> farstâlin ina 900 1
<BOS> farstôdun uuîse 900 1
<BOS> faruuardot an 900 1
<BOS> fast forduuardes 900 1
<BOS> fastnodun is 900 1
<BOS> fehas aftar 900 1
<BOS> felgiad iu 900 1
<BOS> fell siu 900 1
<BOS> felliad te 900 1
<BOS> fellun managa 900 1
<BOS> ferahes gefullid 900 1
<BOS> fergot firiho 900 1
<BOS> ferid unmet 900 1
<BOS> ferunt eundem 900 1
<BOS> filu scal 900 1
<BOS> fireo in 800 1
<BOS> firiho fandon 900 1
<BOS> firihon te 900 1
<BOS> firinuuerc lahad 900 1
<BOS> firinuuerek gifremid 900 1
<BOS> firio drohtin 900 1
<BOS> firnemamês <EOS> 900 1
<BOS> firnimis <EOS> 900 1
<BOS> firnâmut <EOS> 900 1
<BOS> fiscos fâhat 900 1
<BOS> fisknet an 900 1
<BOS> fiur biuallan 900 1
<BOS> fluhtik scalt 900 1
<BOS> fluodas gifullit 900 1
<BOS> flêsk is 900 1
<BOS> flôdo fagorosta 900 1
<BOS> folc farfâhan 900 1
<BOS> folc folgoda 900 1
<BOS> folc iudeono 900 1
<BOS> folc uuirðit 900 1
<BOS> foldu bifolhen 900 1
<BOS> foldu bifulhun 900 1
<BOS> folgoda is 900 1
<BOS> folgode fruokno 900 1
<BOS> folgodun ênun 900 1
<BOS> folmon frumidun 900 1
<BOS> fon hierusalem 900 1
<BOS> fona uuelîheru 900 1
<BOS> fone diu 1000 1
<BOS> fone mînen 1000 1
<BOS> foor fôrun 900 1
<BOS> for thiu 900 1
<BOS> fora thiu 900 1
<BOS> ford scal 900 1
<BOS> forduuerd gifestid 900 1
<BOS> forhuâtan sculun 900 1
<BOS> forn her 800 1
<BOS> fortunam studiumque 900 1
<BOS> fragment i 900 1
<BOS> fragment ii 900 1
<BOS> fragment iii 900 1
<BOS> fridubarn godes 900 1
<BOS> fro mîn 900 1
<BOS> fronisc gi-thigini 900 1
<BOS> frâgoda frôkno 900 1
<BOS> frâgoda ina 900 1
<BOS> frâgode ine 900 1
<BOS> frâgode niudlîco 900 1
<BOS> fréuuen sih 1000 1
<BOS> frî mid 900 1
<BOS> frô mîn 900 3
<BOS> frôd endi 900 1
<BOS> frôdan bi 900 1
<BOS> frôde folcuueros 900 1
<BOS> frôkno frâgon 900 1
<BOS> frôkno frêson 900 1
<BOS> furdor mid 900 1
<BOS> fâhit im 900 1
<BOS> fâron uuoldun 900 1
<BOS> fîbi an 900 1
<BOS> fîond antfengun 900 1
<BOS> fîund mid 900 1
<BOS> fîund undar 900 1
<BOS> fîundun antfôrian 900 1
<BOS> fîðan under 900 1
<BOS> fóne dero 1000 1
<BOS> fóne dîen 1000 1
<BOS> fôdda ina 900 1
<BOS> fôdean an 900 1
<BOS> fôdean that 900 1
<BOS> fône díu 1000 1
<BOS> fôr imu 900 2
<BOS> fôri mit 900 1
<BOS> fôrun thea 900 1
<BOS> fûsa te 900 1
<BOS> gab her 900 1
<BOS> gabriel bium 900 1
<BOS> gadulingun gôd 900 1
<BOS> gaf it 900 1
<BOS> gang thi 900 1
<BOS> gang uz 900 1
<BOS> gang ût 1000 1
<BOS> gangan mid 900 1
<BOS> gangan te 900 1
<BOS> gangan tegegnes 900 1
<BOS> gange ih 1000 1
<BOS> gangen fan 900 1
<BOS> garu iu 900 1
<BOS> garu mid 900 1
<BOS> garutun sê 800 1
<BOS> gebad gi 900 1
<BOS> geban at 900 1
<BOS> gebon endi 900 1
<BOS> gebundane standen 900 1
<BOS> gef ûs 900 1
<BOS> geflîit uuidar 900 1
<BOS> gegangan te 900 1
<BOS> gehuggiad gi 900 1
<BOS> gehêli thînna 900 1
<BOS> gelêrid thea 900 1
<BOS> gelîhc sulîcaro 900 1
<BOS> gemôdi gimahlean 900 1
<BOS> geng an 900 1
<BOS> geng he 900 1
<BOS> geng im 900 3
<BOS> geng imu 900 5
<BOS> geng iâmermôd 900 1
<BOS> geng that 900 1
<BOS> geng thuo 900 1
<BOS> gengun ambahtman 900 1
<BOS> gengun im 900 1
<BOS> gengun uuîf 900 1
<BOS> geniudot sie 900 1
<BOS> gerihti ûs 900 1
<BOS> gerno for 900 1
<BOS> gerot gi 900 1
<BOS> gescriban uuas 900 1
<BOS> gesîdi tesamne 900 1
<BOS> gesîdos cristes 900 1
<BOS> gesîdos mîne 900 1
<BOS> getholon undar 900 1
<BOS> geuuarht for 900 1
<BOS> geuuitun im 900 1
<BOS> geuuêt imu 900 2
<BOS> gi sculun 900 1
<BOS> gi-duot godes 900 1
<BOS> gi-halde inan 900 1
<BOS> gi-skerit ist 900 1
<BOS> giarmod thar 900 1
<BOS> gibioden barn 900 1
<BOS> giblôdit an 900 1
<BOS> giboran an 900 1
<BOS> gibundan an 900 1
<BOS> gibôd aftar 900 1
<BOS> gie im 900 1
<BOS> gie sô 900 1
<BOS> gie uuordo 900 1
<BOS> gifrang aftar 900 1
<BOS> gifullit thurh 900 1
<BOS> gifôlien is 900 1
<BOS> gihueribida an 900 1
<BOS> gihuggeat gi 900 1
<BOS> gihêt im 900 1
<BOS> gilobot si 900 1
<BOS> gilêbod an 900 1
<BOS> gilôbien aftar 900 1
<BOS> gilôbien mînun 900 1
<BOS> gimahlien mid 900 1
<BOS> gimarcode mahtig 900 1
<BOS> gimerrid uuârun 900 1
<BOS> gimênda mid 900 1
<BOS> gimênde for 900 1
<BOS> ginerid fan 900 1
<BOS> gineridan uuid 900 1
<BOS> gisald uuider 900 1
<BOS> giseggean sôdlîco 900 1
<BOS> giseggean them 900 1
<BOS> gisehan endi 900 1
<BOS> gisuerkad siu 900 1
<BOS> gisuuerek upp 900 1
<BOS> gisâhun endi 900 1
<BOS> giu uuârun 900 1
<BOS> giungaron cristes 900 1
<BOS> giuualdan thesas 900 1
<BOS> giuuand thesaro 900 1
<BOS> giuuar an 900 1
<BOS> giuuaraht fan 900 1
<BOS> giuuardod sô 900 1
<BOS> giuuendid aftar 900 1
<BOS> giuuernidun imu 900 1
<BOS> giuuirdid an 900 1
<BOS> giuuitun im 900 6
<BOS> giuuêt im 900 2
<BOS> giuuêt imo 900 1
<BOS> giuuêt imu 900 7
<BOS> giuuêt ina 900 1
<BOS> giuuîsean te 900 1
<BOS> giuuîtit im 900 1
<BOS> giâmarlîcara forgang 900 1
<BOS> gloria non 900 1
<BOS> glîtandi glîmo 900 1
<BOS> god alomahtig 900 1
<BOS> godas huldi 900 1
<BOS> gode lob 900 1
<BOS> gode thancodun 900 1
<BOS> godes engil 900 3
<BOS> godes engilos 900 2
<BOS> godes gegnungo 900 1
<BOS> godes iungarskepi 900 1
<BOS> godes êgan 900 2
<BOS> godes êgen 900 1
<BOS> godes êu 900 1
<BOS> godspell that 900 1
<BOS> gornuuord sprekan 900 1
<BOS> got lêret 1000 1
<BOS> got sih 1000 1
<BOS> gotmanno daz 900 1
<BOS> gramhûdig man 900 1
<BOS> gramon undergripanen 900 1
<BOS> grimma an 900 1
<BOS> grimmid the 900 1
<BOS> griotandi sâtun 900 1
<BOS> grôt craft 900 1
<BOS> grôtid he 900 1
<BOS> grôtta hie 900 1
<BOS> grôtte sie 900 2
<BOS> gudea gimeinun 800 1
<BOS> guldine scattos 900 1
<BOS> gumon an 900 1
<BOS> gumon uuid 900 1
<BOS> gumono gehuilicumu 900 1
<BOS> gumono grimuuerk 900 1
<BOS> gumono gêstos 900 1
<BOS> gumono sulica 900 1
<BOS> gêstos an 900 1
<BOS> gót hílf 1000 1
<BOS> gôd undar 900 1
